Provincia,Partido,Votos
Álava,PODEMOS/AHAL DUGU-IU-EQUO,51827
Álava,PP,34276
Álava,EAJ-PNV,26703
Álava,PSE-EE/PSOE,26381
Álava,EH Bildu,15858
Álava,C's,8372
Álava,PACMA,1657
Álava,Recortes Cero-Grupo Verd,599
Álava,VOX,306
Álava,UPyD,298
Albacete,PP,89717
Albacete,PSOE,59617
Albacete,PODEMOS-IU-EQUO,33509
Albacete,C's,31976
Albacete,PACMA,1985
Albacete,UPyD,430
Albacete,Recortes Cero-Grupo Verd,321
Alicante,PP,329628
Alicante,PODEMOS-COMPROMÍS-EUPV,193263
Alicante,PSOE,187484
Alicante,C's,138517
Alicante,PACMA,10632
Alicante,VOX,2003
Alicante,UPyD,1961
Alicante,Recortes Cero-Grupo Verd,1293
Almería,PP,131801
Almería,PSOE,84988
Almería,C's,41897
Almería,PODEMOS-IU-EQUO,40578
Almería,PACMA,2689
Almería,UPyD,684
Almería,VOX,435
Almería,Recortes Cero-Grupo Verd,334
Ávila,PP,50931
Ávila,PSOE,19277
Ávila,C's,14096
Ávila,PODEMOS-IU-EQUO,12527
Ávila,PACMA,610
Ávila,UPyD,357
Ávila,Recortes Cero-Grupo Verd,141
Badajoz,PP,149603
Badajoz,PSOE,133392
Badajoz,PODEMOS-IU-EQUO,47182
Badajoz,C's,40417
Badajoz,PACMA,2766
Badajoz,UPyD,639
Badajoz,VOX,617
Badajoz,Recortes Cero-Grupo Verd,614
Baleares,PP,163045
Baleares,PODEMOS-EUIB-MÉS,118082
Baleares,PSOE,93363
Baleares,C's,67700
Baleares,PACMA,7266
Baleares,Recortes Cero-Grupo Verd,1644
Baleares,UPyD,1197
Barcelona,ECP,694315
Barcelona,PSC-PSOE,444812
Barcelona,ERC-CATSÍ,438126
Barcelona,PP,357759
Barcelona,CDC,323824
Barcelona,C's,305075
Barcelona,PACMA,47660
Barcelona,Recortes Cero-Grupo Verd,8006
Burgos,PP,88785
Burgos,PSOE,45724
Burgos,PODEMOS-IU-EQUO,35705
Burgos,C's,30361
Burgos,PACMA,1782
Burgos,UPyD,788
Burgos,VOX,647
Burgos,Recortes Cero-Grupo Verd,456
Cáceres,PP,95419
Cáceres,PSOE,78767
Cáceres,PODEMOS-IU-EQUO,33164
Cáceres,C's,24343
Cáceres,PACMA,1690
Cáceres,Recortes Cero-Grupo Verd,459
Cáceres,UPyD,415
Cáceres,VOX,409
Cádiz,PP,198876
Cádiz,PSOE,175498
Cádiz,PODEMOS-IU-EQUO,130643
Cádiz,C's,88029
Cádiz,PACMA,9719
Cádiz,UPyD,1750
Cádiz,Recortes Cero-Grupo Verd,1417
Cádiz,VOX,1253
Castellón,PP,106746
Castellón,PODEMOS-COMPROMÍS-EUPV,72281
Castellón,PSOE,66062
Castellón,C's,44121
Castellón,PACMA,2985
Castellón,VOX,711
Castellón,UPyD,662
Castellón,Recortes Cero-Grupo Verd,561
Ciudad Real,PP,121622
Ciudad Real,PSOE,81728
Ciudad Real,PODEMOS-IU-EQUO,37510
Ciudad Real,C's,33126
Ciudad Real,PACMA,2334
Ciudad Real,UPyD,679
Ciudad Real,Recortes Cero-Grupo Verd,458
Córdoba,PP,153750
Córdoba,PSOE,139281
Córdoba,PODEMOS-IU-EQUO,85058
Córdoba,C's,55248
Córdoba,PACMA,4234
Córdoba,UPyD,743
Córdoba,VOX,708
Córdoba,Recortes Cero-Grupo Verd,467
La Coruña,PP,257855
La Coruña,PODEMOS-EN MAREA-ANOVA-EU,148566
La Coruña,PSdeG-PSOE,139973
La Coruña,C's,60347
La Coruña,BNG-NÓS,19343
